"Module","Method","Endpoint","Scenario","Expected","Sources"
"(unattributed)","DELETE","/api/attendance/holiday-templates/delete/{holidayTemplateId}","Positive — documented request","2xx","inventory"
"(unattributed)","DELETE","/api/attendance/holiday-templates/delete/{holidayTemplateId}","Negative — no credential","401 or 403","inventory"
"(unattributed)","DELETE","/api/attendance/holiday-templates/delete/{holidayTemplateId}","Negative — malformed token","401","inventory"
"(unattributed)","DELETE","/api/attendance/holiday-templates/delete/{holidayTemplateId}","Negative — non-existent id","404","inventory"
"(unattributed)","PATCH","/api/attendance/week-off-assignment/changeStatus","Positive — documented request","2xx","inventory"
"(unattributed)","PATCH","/api/attendance/week-off-assignment/changeStatus","Negative — no credential","401 or 403","inventory"
"(unattributed)","PATCH","/api/attendance/week-off-assignment/changeStatus","Negative — malformed token","401","inventory"
"(unattributed)","PATCH","/api/attendance/week-off-assignment/changeStatus","Negative — empty body","400 or 422","inventory"
"(unattributed)","PATCH","/api/attendance/week-off-assignment/changeStatus","Negative — wrong content type","415","inventory"
"(unattributed)","POST","/api/attendance/week-off-assignment/getByWeekOff","Positive — documented request","2xx","inventory"
"(unattributed)","POST","/api/attendance/week-off-assignment/getByWeekOff","Negative — no credential","401 or 403","inventory"
"(unattributed)","POST","/api/attendance/week-off-assignment/getByWeekOff","Negative — malformed token","401","inventory"
"(unattributed)","POST","/api/attendance/week-off-assignment/getByWeekOff","Negative — empty body","400 or 422","inventory"
"(unattributed)","POST","/api/attendance/week-off-assignment/getByWeekOff","Negative — wrong content type","415","inventory"
"(unattributed)","PATCH","/api/attendance/week-offs/actDeact/3/status","Positive — documented request","2xx","inventory"
"(unattributed)","PATCH","/api/attendance/week-offs/actDeact/3/status","Negative — no credential","401 or 403","inventory"
"(unattributed)","PATCH","/api/attendance/week-offs/actDeact/3/status","Negative — malformed token","401","inventory"
"(unattributed)","PATCH","/api/attendance/week-offs/actDeact/3/status","Negative — empty body","400 or 422","inventory"
"(unattributed)","PATCH","/api/attendance/week-offs/actDeact/3/status","Negative — wrong content type","415","inventory"
